_id,name,abv,brewery,location,description,servingSize,price
"680d8df171e6c39670dcdbab","Moose Jam","5% ABV","North Country Hard Cider Company","Dover, NH","Medium sweetness cider that is tart and bursting with raspberry flavor.","16oz Draft","8.5"
"680d8df171e6c39670dcdbac","Moose Jam","5% ABV","North Country Hard Cider Company","Dover, NH","Medium sweetness cider that is tart and bursting with raspberry flavor.","16oz Draft","8.5"
"680d8df171e6c39670dcdbad","Moose Jam","5% ABV","North Country Hard Cider Company","Dover, NH","Medium sweetness cider that is tart and bursting with raspberry flavor.","16oz Draft","8.5"
"680d8df171e6c39670dcdbae","Bullwinkle","6.9% ABV","Stoneface Brewing Company","Newington, NH","Bullwinkle: New England India Pale Ale featuring Mosaic, HBC 586, Nelson Sauvin, and El Dorado hops.  Notes of sweet yellow nectarine, tropical mango, and citrus zest.  Brewed in collaboration with our friends, Thirsty Moose Taphouse.","16oz Draft","7"
"680d8df171e6c39670dcdbaf","Scrag Mountain Pils","4.8% ABV","Lawson’s Finest Liquids","Waitsfield, VT","Inspired by the traditional Czech Pilsner style. Our house lager is a tribute to the source of Waitsfield's town water and the aquifer deep beneath Scrag Mountain.","16oz Draft","7.5"
"680d8df171e6c39670dcdbb0","Scrag Mountain Pils","4.8% ABV","Lawson’s Finest Liquids","Waitsfield, VT","Inspired by the traditional Czech Pilsner style. Our house lager is a tribute to the source of Waitsfield's town water and the aquifer deep beneath Scrag Mountain.","16oz Draft","7.5"
"680d8df171e6c39670dcdbb1","Scrag Mountain Pils","4.8% ABV","Lawson’s Finest Liquids","Waitsfield, VT","Inspired by the traditional Czech Pilsner style. Our house lager is a tribute to the source of Waitsfield's town water and the aquifer deep beneath Scrag Mountain.","16oz Draft","7.5"
"680d8df171e6c39670dcdbb2","Sip of Sunshine","8% ABV","Lawson’s Finest Liquids","Waitsfield, VT","This lupulin-ladin India Pale Ale is packed with juicy tropical fruit character, bright floral aromas and delectable layers of hop flavor. Pour mindfully, inhale deeply and enjoy a tropical vacation in a glass. Always store cold, enjoy fresh and stay cool!","12oz Draft","8"
"680d8df171e6c39670dcdbb3","Super Lemonova","5.1% ABV","Lawson’s Finest Liquids","Waitsfield, VT","This incredibly balanced, thirst-quenching blonde ale is bursting with citrusy hop notes that are complemented by a subtle twist of tartness coming from multiple additions of lemon zest.","16oz Draft","8.5"
"680d8df171e6c39670dcdbb4","Big Wave","4.4% ABV","Kona Brewing Hawaii","Kailua-Kona, HI","Big Wave is light golden ale with a subtle fruitiness and delicate hop aroma. A smooth, easy drinking refreshing ale. The lightly roasted honey malt contributes to the golden hue of this beer.","16oz Draft","6.5"
"680d8df171e6c39670dcdbb5","Big Wave","4.4% ABV","Kona Brewing Hawaii","Kailua-Kona, HI","Big Wave is light golden ale with a subtle fruitiness and delicate hop aroma. A smooth, easy drinking refreshing ale. The lightly roasted honey malt contributes to the golden hue of this beer.","16oz Draft","6.5"
"680d8df171e6c39670dcdbb6","Big Wave","4.4% ABV","Kona Brewing Hawaii","Kailua-Kona, HI","Big Wave is light golden ale with a subtle fruitiness and delicate hop aroma. A smooth, easy drinking refreshing ale. The lightly roasted honey malt contributes to the golden hue of this beer.","16oz Draft","6.5"
"680d8df171e6c39670dcdbb7","Who Loves the Sun","4.5% ABV","Notch Brewing","Salem, MA","A light, refreshing blonde ale with mix of kiwi fruit, fresh strawberries, and citrus flavors. Fermented and conditioned cold with a Kolsch yeast and dry-hopped with Styrian Dragon hops.","16oz Draft","11.5"
"680d8df171e6c39670dcdbb8","Winni Ale","6.6% ABV","603 Brewery","Londonderry, NH","Our very first brew to go to market. Named after Lake Winnipesaukee, the largest of New Hampshire’s 944 lakes, boasting 288 miles of shoreline. Some told us we were crazy to release an amber as our first beer but we tend to disagree; Winni stands today as our number one selling beer. A rich amber ale brewed with a variety of English and Belgian crystal malts, producing a deep amber color and a complex sweetness. A blend of American hops gives a clean hop bite and a bouquet of citrus notes in the finish.","16oz Draft","6.5"
"680d8df171e6c39670dcdbb9","Winni Ale","6.6% ABV","603 Brewery","Londonderry, NH","Our very first brew to go to market. Named after Lake Winnipesaukee, the largest of New Hampshire’s 944 lakes, boasting 288 miles of shoreline. Some told us we were crazy to release an amber as our first beer but we tend to disagree; Winni stands today as our number one selling beer. A rich amber ale brewed with a variety of English and Belgian crystal malts, producing a deep amber color and a complex sweetness. A blend of American hops gives a clean hop bite and a bouquet of citrus notes in the finish.","16oz Draft","6.5"
"680d8df171e6c39670dcdbba","Winni Ale","6.6% ABV","603 Brewery","Londonderry, NH","Our very first brew to go to market. Named after Lake Winnipesaukee, the largest of New Hampshire’s 944 lakes, boasting 288 miles of shoreline. Some told us we were crazy to release an amber as our first beer but we tend to disagree; Winni stands today as our number one selling beer. A rich amber ale brewed with a variety of English and Belgian crystal malts, producing a deep amber color and a complex sweetness. A blend of American hops gives a clean hop bite and a bouquet of citrus notes in the finish.","16oz Draft","6.5"
"680d8df171e6c39670dcdbbb","Dead Devotion Series (American Amber Ale)","5% ABV","Kettlehead Brewing","Tilton, NH","This American Amber is a beautiful rich Amber mahogany,  malty, yet crisp with a citrus hop background from the simple American hop.  CASCADE.","16oz Draft","10.25"
"680d8df171e6c39670dcdbbc","Switchback Ale","5% ABV","Switchback Brewing Company","Burlington, VT","Using only traditional ingredients, Switchback Ale is a reddish-amber ale which is particularly well-balanced, allowing for complexity of flavor coupled with an unusually smooth and refreshing character.","16oz Draft","6.5"
"680d8df171e6c39670dcdbbd","Mountain Ale","7.4% ABV","The Shed Brewery","Middlebury, VT","This unfiltered American Brown Ale is a medium to full-bodied ale, with pronounced caramel and toffee notes, followed by a roasted finish. A moderate hop bitterness is derived from generous kettle additions of Mt. Hood and Northern Brewer hops.","12oz Draft","6.5"
"680d8df171e6c39670dcdbbe","Double Pig’s Ear","8.4% ABV","Woodstock Inn Brewery","North Woodstock, NH","With twice the ingredients as our Award Winning Pig's Ear Ale. This smooth Double Brown Ale is...delicious!","12oz Draft","7"
"680d8df171e6c39670dcdbbf","Blizzard of '78","6% ABV","Wormtown Brewery","Worcester, MA","Made with coffee beans from Acoustic Java in Worcester, Ma. Smooth, rich, and bold with strong coffee notes.","16oz Draft","6.5"
"680d8df171e6c39670dcdbc0","Snow Cone","5.3% ABV","Great North Aleworks","Manchester, NH","Snow Cone Lemon Shandy is a wheat ale blended with fresh squeezed lemon juice.
 
For the juice, we’ve partnered with Fabrizia Spirits, a family business like ours, that produces high quality, all natural, small batch Limoncello’s and Ready-to-Drink Cocktails. They’re located in Salem, NH only 20 miles from our brewery.

This juicy beer reminds us of a lemon snow cone at the beach. What’s more refreshing than that?","16oz Draft","9.25"
"680d8df171e6c39670dcdbc1","Snow Cone","5.3% ABV","Great North Aleworks","Manchester, NH","Snow Cone Lemon Shandy is a wheat ale blended with fresh squeezed lemon juice.
 
For the juice, we’ve partnered with Fabrizia Spirits, a family business like ours, that produces high quality, all natural, small batch Limoncello’s and Ready-to-Drink Cocktails. They’re located in Salem, NH only 20 miles from our brewery.

This juicy beer reminds us of a lemon snow cone at the beach. What’s more refreshing than that?","16oz Draft","9.25"
"680d8df171e6c39670dcdbc2","Snow Cone","5.3% ABV","Great North Aleworks","Manchester, NH","Snow Cone Lemon Shandy is a wheat ale blended with fresh squeezed lemon juice.
 
For the juice, we’ve partnered with Fabrizia Spirits, a family business like ours, that produces high quality, all natural, small batch Limoncello’s and Ready-to-Drink Cocktails. They’re located in Salem, NH only 20 miles from our brewery.

This juicy beer reminds us of a lemon snow cone at the beach. What’s more refreshing than that?","16oz Draft","9.25"
"680d8df171e6c39670dcdbc3","Vignette","5.8% ABV","Après","Portland, ME","Rose sparking cider","16oz Draft","12.75"
"680d8df171e6c39670dcdbc4","Vignette","5.8% ABV","Après","Portland, ME","Rose sparking cider","16oz Draft","12.75"
"680d8df171e6c39670dcdbc5","Vignette","5.8% ABV","Après","Portland, ME","Rose sparking cider","16oz Draft","12.75"
"680d8df171e6c39670dcdbc6","Crisp Apple","5% ABV","Angry Orchard Cider Company","Walden, NY","A crisp and refreshing cider, its fresh apple aroma and slightly sweet, ripe apple flavor make it hard to resist.","16oz Draft","6.5"
"680d8df171e6c39670dcdbc7","Mimosa Crush","4.8% ABV","Citizen Cider","Burlington, VT","Semi-dry cider crafted with pineapple & orange.","16oz Draft","13.5"
"680d8df171e6c39670dcdbc8","Original Blend","5.1% ABV","Downeast Cider House","Boston, MA","The original unfiltered. A hard cider that tastes like apple cider. Smooth and refreshing, perfectly balanced. Like the cider your grew up drinking.","16oz Draft","7"
"680d8df171e6c39670dcdbc9","Peach Mango","5% ABV","Downeast Cider House","Boston, MA","hello. introducing our [new] summer seasonal: [peach mango]. it’s good to mix things up. especially in the summer, especially when summer (officially) starts in april. prime mixing season. and while we are mixing things up-an anagram of peach mango is “mango peach”. once we found that out we figured this was meant to be. stars are aligned.","16oz Draft","9.5"
"680d8df171e6c39670dcdbca","Apple Wood","6% ABV","North Country Hard Cider Company","Dover, NH","We take our Bitter Brothers Blend and age it for six months in Jim Beam barrels. It is a smooth and dry cider with mild bourbon and oak notes. New Hampshire and Maine grown apples.",,"0"
"680d8df171e6c39670dcdbcb","Fire Starter","5% ABV","North Country Hard Cider Company","Dover, NH","Many people have called this cider ""warm apple pie"" or ""fireworks in your mouth"". We just call it delicious. A medium-sweet cider flavored with cinnamon, habanero and pomegranate.","16oz Draft","8.5"
"680d8df171e6c39670dcdbcc","Mountain Glow","6.5% ABV","Stowe Cider","Stowe, VT","A subtle ginger kick, balanced with just the right amount of citrus.","16oz Draft","9.5"
"680d8df171e6c39670dcdbcd","Safety Meeting","6.5% ABV","Stowe Cider","Stowe, VT","Our flagship tips up dry hopped with the finest citra & galaxy hops. One of a kind & delightfully hoppy.","16oz Draft","9.25"
"680d8df171e6c39670dcdbce","Sorry Not Sour","4.5% ABV","Prairie Artisan Ales","Krebs, OK","Ale with blood orange, mango, and apple","16oz Draft","10.5"
"680d8df171e6c39670dcdbcf","Sorry Not Sour","4.5% ABV","Prairie Artisan Ales","Krebs, OK","Ale with blood orange, mango, and apple","16oz Draft","10.5"
"680d8df171e6c39670dcdbd0","Sorry Not Sour","4.5% ABV","Prairie Artisan Ales","Krebs, OK","Ale with blood orange, mango, and apple","16oz Draft","10.5"
"680d8df171e6c39670dcdbd1","BURN THE SHIPS ®","7% ABV","Able Ebenezer Brewing Company","Merrimack, NH","Cherrywood Smoked IPA - Voted Best New Hampshire Made Beer - An IPA like no other, brewed with Northern Brewer & Cascade hops, and a blend of Caramel & Cherrywood Smoked Malt.

THE STORY: Alexander the Great begins his conquest of Persia with one order: ""Burn The Ships!"" About to face an army five times their size, his pleading commanders ask why they should destroy the only asset that could return them home? Alexander states: ""We shall go home in Persian ships."" After years of fighting, Alexander and his men returned home victorious - aboard a fleet of Persian warships. ""Burn The Ships"" is our mantra; a nod to the bold individuals willing to risk all they have and all they are on their great cause. There is no going back. Burn The Ships can seem like an intimidating proposition up front, but like the beer, it’s addictively fulfilling once you’ve had the first taste.","12oz Draft","7.5"
"680d8df171e6c39670dcdbd2","BURN THE SHIPS ®","7% ABV","Able Ebenezer Brewing Company","Merrimack, NH","Cherrywood Smoked IPA - Voted Best New Hampshire Made Beer - An IPA like no other, brewed with Northern Brewer & Cascade hops, and a blend of Caramel & Cherrywood Smoked Malt.

THE STORY: Alexander the Great begins his conquest of Persia with one order: ""Burn The Ships!"" About to face an army five times their size, his pleading commanders ask why they should destroy the only asset that could return them home? Alexander states: ""We shall go home in Persian ships."" After years of fighting, Alexander and his men returned home victorious - aboard a fleet of Persian warships. ""Burn The Ships"" is our mantra; a nod to the bold individuals willing to risk all they have and all they are on their great cause. There is no going back. Burn The Ships can seem like an intimidating proposition up front, but like the beer, it’s addictively fulfilling once you’ve had the first taste.","12oz Draft","7.5"
"680d8df171e6c39670dcdbd3","BURN THE SHIPS ®","7% ABV","Able Ebenezer Brewing Company","Merrimack, NH","Cherrywood Smoked IPA - Voted Best New Hampshire Made Beer - An IPA like no other, brewed with Northern Brewer & Cascade hops, and a blend of Caramel & Cherrywood Smoked Malt.

THE STORY: Alexander the Great begins his conquest of Persia with one order: ""Burn The Ships!"" About to face an army five times their size, his pleading commanders ask why they should destroy the only asset that could return them home? Alexander states: ""We shall go home in Persian ships."" After years of fighting, Alexander and his men returned home victorious - aboard a fleet of Persian warships. ""Burn The Ships"" is our mantra; a nod to the bold individuals willing to risk all they have and all they are on their great cause. There is no going back. Burn The Ships can seem like an intimidating proposition up front, but like the beer, it’s addictively fulfilling once you’ve had the first taste.","12oz Draft","7.5"
"680d8df171e6c39670dcdbd4","The Moon","7% ABV","Belleflower Brewing","Portland, ME","The Sun and Moon share the same origin, the same base beer treated differently. The Moon is dry-hopped with Southern Hemisphere favorites Motueka and Nelson Sauvin.

The Moon begins with aromatics of white grape juice, mixed berries, and fresh-cut flowers. The first sip is reminiscent of Reisling, juicy tangerine, and brings a drying minerality.","12oz Draft","8.75"
"680d8df171e6c39670dcdbd5","Space Cake","9% ABV","Clown Shoes","Boston, MA","Being pursued by a giant assortment of laser-equipped cupcake-spaceships is many things, but it is certainly no time to panic.  Miracle Mike and his galactic canine Bionic have been through far worse, and they always seem to find a way past the relentless pursuit of the Space Cake fleet. This Double IPA features robust hop aromas that carry through to the strong juicy flavors of tropical citrus.","12oz Draft","9"
"680d8df171e6c39670dcdbd6","Safe Space NEIPA","6% ABV","Concord Craft Brewing Company","Concord, NH","Our Safe Space NEIPA has an enticing complex citrusy aroma from liberal dry hopping and late addition hops.  It has a light, hazy yellow hue and a full mouth feel bursting with tropical fruit.  It is so smooth and delicious, it will bring you to your safe space. Live Free or Die!","16oz Draft","7.5"
"680d8df171e6c39670dcdbd7","60 Minute IPA","6% ABV","Dogfish Head Craft Brewery","Milton, DE","60 Minute IPA is continuously hopped -- more than 60 hop additions over a 60-minute boil. Getting a vibe of where the name came from? 60 Minute is brewed with a slew of great Northwest hops.","16oz Draft","6.5"
"680d8df171e6c39670dcdbd8","Dizzy In My Head","8.5% ABV","Foam Brewers","Burlington, VT","Dizzy In My Head is a collaboration with our friends at Belleflower Brewing out of Portland, Maine. They made the trip down to Hinesburg to brew this one with us, and now it’s ready to share with you all.

Dizzy in My Head is an 8.5% Double IPA, brewed with a healthy portion of YCH Citra dynaboost and chinook on the hot side, and dry-hopped with Mosaic and Nectaron for a burst of tropical fruit aromas. Bright citrus, ripe pineapple, and juicy passion fruit lead the way, balanced by a resinous piney character and hint of guava. A smooth, creamy mouthfeel ties it all together, finishing clean with just the right amount of hop bitterness.","12oz Draft","9.5"
"680d8df171e6c39670dcdbd9","The Fruit That Ate Itself","7.2% ABV","Foam Brewers","Burlington, VT","tasting notes: mango, orange, creamsicle","12oz Draft","9.5"
"680d8df171e6c39670dcdbda","All Day IPA","4.7% ABV","Founders Brewing Co.","Grand Rapids, MI","Satisfies your tastes while keeping your senses sharp. Brewed with a complex array of ingredients. Balanced for optimal aromatics and a clean finish.","16oz Draft","6.5"
"680d8df171e6c39670dcdbdb","Tropical Haze","6.8% ABV","Great Rhythm Brewing Company","Portsmouth, NH","A hoppy, hazy IPA that will lead you to paradise","16oz Draft","7"
"680d8df171e6c39670dcdbdc","Fresh Blood","7% ABV","Kettlehead Brewing","Tilton, NH","Brewed with Blood Orange and Japanese Yuzu for a big fruity, orange citrus character","12oz Draft","10"
"680d8df171e6c39670dcdbdd","Piney","7% ABV","Kettlehead Brewing","Tilton, NH","Swing by and meet the newest Member of the Pulpy family.   He is bringing a suitcase full of pacific northwest hops and showcasing that big PINE dankness we all fell in love with way back when","12oz Draft","9.5"
"680d8df171e6c39670dcdbde","Pulpy","7% ABV","Kettlehead Brewing","Tilton, NH","Meet Pulpy, he's a friend of ours and he loves juicy IPAs. This one happens to be his favorite. Triple dry hopped with a combination of mosaic, citra, and El Dorado hops. And no there is no pulp in this beer.",,"0"
"680d8df171e6c39670dcdbdf","Misguided Angel","7.5% ABV","Lithermans Brewing Company","Concord, NH","Our flagship New England style IPA, double dry hopped with Citra, Mosaic and Simcoe hops which creates flavors of bright citrus, peach, berry and pine.​","12oz Draft","10"
"680d8df171e6c39670dcdbe0","Boomsauce","8% ABV","Lord Hobo Brewing Co.","Woburn, MA","There is nothing subtle about our Flagship beer. Boomsauce is a big bold IPA with a complex hop profile. With five different hops, it hits you with strong tropical fruit flavors before mellowing out to finish with a hint of earthiness. Each subsequent taste opens up the dynamic layers of complexity woven throughout this beer. Imagine fresh pressed fruit without the sweetness, perfect for that Saturday afternoon pick-me-up or a late-night congregation of friends. Boomsauce is your way to celebrate no matter the occasion.","12oz Draft","7.5"
"680d8df171e6c39670dcdbe1","Lunch","7% ABV","Maine Beer Company","Freeport, ME","Our “East Coast” version of a West Coast-style IPA.  Intense hop flavors and aromas of tropical and citrus fruits and pine dominate.  A subtle malt sweetness brings the beer into balance.","12oz Draft","8"
"680d8df171e6c39670dcdbe2","Cloud Candy IPA","6.5% ABV","Mighty Squirrel Brewing Co.","Waltham, MA","Tropical aromas and notes of papaya, mango, and star fruit dominate this juicy IPA. Taste the Cloud!","16oz Draft","9"
"680d8df171e6c39670dcdbe3","The Realest","8.5% ABV","Modestman Brewing","Keene, NH","Collab with Fidens","12oz Draft","11"
"680d8df171e6c39670dcdbe4","Hazy Little Thing","6.7% ABV","Sierra Nevada Brewing Co.","Chico, CA","As brewers, we get the privilege to sample our beers straight from the tanks in all their raw glory. Some beers need a little polishing to get ready to go out into the world, while others—the hop-heavy, rowdy, crowd-pleasers—should just be left alone. We wanted to share this brewery-only treat with you, so we present this Hazy Little Thing, our unfiltered, unprocessed IPA, straight from the tanks and into the can.","16oz Draft","6.5"
"680d8df171e6c39670dcdbe5","Citra Singularity","8.5% ABV","Spyglass Brewing Company","Nashua, NH","Double IPA hopped singularly with Citra hops.","12oz Draft","10"
"680d8df171e6c39670dcdbe6","IPA","7.2% ABV","Stoneface Brewing Company","Newington, NH","Hop-forward unfiltered IPA featuring bright citrus notes and a clean, balanced malt profile. Featuring Citra, Simcoe, Amarillo, & Columbus hops.","12oz Draft","7.25"
"680d8df171e6c39670dcdbe7","Mansfield IPA","5.9% ABV","Switchback Brewing Company","Burlington, VT","Named after Vermont’s tallest peak, this rugged & refreshing IPA layers a hazy, juicy body with a sharp piney aroma.
 
Mansfield is a Mountain-style IPA which blends the best of both West Coast and New England style IPAs. This style strikes a balance between the bitterness and haze of west coast IPAs, while preserving the fruity hop aromas and juicy characteristics of New England IPAs.","16oz Draft","7.5"
"680d8df171e6c39670dcdbe8","Pernicious","7.3% ABV","Wicked Weed Brewing","Asheville, NC","Pernicious is our flagship India Pale Ale. With minimum malt complexity, we dry hop this beer with nearly twice the normal amount of hops typical to this style. The combination of juicy, tropical fruit-forward hops with heavy resinous American hops is the epitome of a West Coast IPA, made right here in the Southeast.","12oz Draft","8"
"680d8df171e6c39670dcdbe9","Green Wizard","6.6% ABV","Widowmaker Brewing","Braintree, MA","GREEN WIZARD is a West Coast IPA brewed with @fourstarfarms Centennial and Cascade. We wanted to brew something a little different from our New England roots, so we created this super balanced, extremely drinkable ripper with some of the freshest hops grown locally.","16oz Draft","13"
"680d8df171e6c39670dcdbea","Conehead","5.7% ABV","Zero Gravity Craft Brewery","Burlington, VT","All Citra-Hopped IPA brewed with Pilsner Malt and American Wheat. Pours a beautiful golden haze and is bright and juicy on the palate. This beer might just be your Rushmore.","16oz Draft","6.5"
"680d8df171e6c39670dcdbeb","Bud Light","4.2% ABV","Anheuser-Busch","St. Louis, MO","Rated 2.25 out of 5 on Untappd","12oz Bottle","5.5"
"680d8df171e6c39670dcdbec","Bud Light","4.2% ABV","Anheuser-Busch","St. Louis, MO","Rated 2.25 out of 5 on Untappd","12oz Bottle","5.5"
"680d8df171e6c39670dcdbed","Bud Light","4.2% ABV","Anheuser-Busch","St. Louis, MO","Rated 2.25 out of 5 on Untappd","12oz Bottle","5.5"
"680d8df171e6c39670dcdbee","Michelob ULTRA","4.2% ABV","Anheuser-Busch","St. Louis, MO","A superior light beer. Brewed using the finest barley malt, select grains, all-imported hops and a pure-cultured yeast strain. The special choice of grains combined with the extended mashing process produces a smooth, refreshing beer with fewer carbohydrates.","12oz Bottle","5.5"
